,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year_data_collected,Grouped_Sector
37,Puresh Daily,2019,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar",AlfaVenturesAgilityVenturePartners,100000,Seed,2021,
38,LearnVern,2016,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",N/A,1000000,N/A,2021,Education
39,LimeChat,2020,"Faridabad, Haryana",AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta",StellarisVenturePartnersRamakantSharma,7500000,Seed,2021,
40,Dybo,2019,Bangalore,IT,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000,Seed,2021,
41,moEVing,2021,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,N/A,1000000,Seed,2021,
42,WeWork India,2017,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,N/A,26000000,N/A,2021,Hospitality
43,Solethreads,2018,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,DSGConsumerPartnersSaamaCapital,1000000,SeriesA,2021,
44,Beldara,2018,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,HindustanMediaVentures,7400000,N/A,2021,Retail
45,CredFlow,2020,New Delhi,FinTech,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,StellarisVenturePartnersOmidyarNetworkIndiaFlourishVentures,2000000,Seed,2021,Finance
46,Do Your Thng,2018,Gurugram,Marketing,World's first shared economy platform for digital assets.,Ankit Agarwal,AngelbayHoldingsFaadNetwork,1500000,N/A,2021,
47,Oye Rickshaw,2017,Gurugram,Transportation,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma",AlteriaCapitalChirataeVentures,3000000,N/A,2021,
48,Legitquest,2017,New Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla",WaterBridgeVenturesInfoEdge,600000,N/A,2021,
49,Swiggy,2014,Bangalore,Food delivery,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety",CarmignacFalconEdgeCapital,800000000,N/A,2021,
50,PlayShifu,2016,Bangalore,EdTech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal",ChirataeVenturesBharatInnovationFund,17000000,SeriesB,2021,Education
51,Pitstop,2015,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak",AckoTechnologyServicesLetsVenture,3500000,Pre-seriesB,2021,Automotive
52,Lendingkart,1999,Gujarat,FinTech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan",BertelsmannIndiaInvestmentsFullertonFinancialHoldings,15000000,Debt,2021,Finance
53,CRED,2018,Bangalore,FinTech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,DragoneerInvestmentGroupTigerGlobalManagement,215000000,SeriesD,2021,Finance
54,Karnival,2015,Bangalore,SaaS startup,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000,Seed,2021,
55,PharmEasy,2015,Mumbai,HealthTech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani",TPGGrowthCaissedeDepotetPlacementduQuebec,350000000,SeriesE,2021,
56,WESS,1989,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,CentrumFinancialServices,2000000,Seed,2021,
57,ShopSe,2020,Mumbai,FinTech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai",ChirataeVenturesBEENEXT,5500000,N/A,2021,Finance
58,Fantasy Akhada,2020,Gurugram,Fantasy sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,HarshaBhogle,600000,N/A,2021,
59,Groww,2017,Bangalore,FinTech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh",TigerGlobalManagementYCombinatorContinuityFund,83000000,SeriesD,2021,Finance
60,Avanti Finance,2016,Bangalore,FinTech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael&SusanDellFoundation,26000000,SeriesA,2021,Finance
61,OfBusiness,2015,Gurugram,FinTech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar",FalconEdgeIndiaNorwestVenturePartners,110000000,N/A,2021,Finance
62,Superpro.ai,2019,Bangalore,Video communication,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar",SOSVOmphalosVenturesIndia,3000000,Seed,2021,
63,ShareChat,2015,Bangalore,Social Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan",TwitterVenturesPawanMunjal,500000000,N/A,2021,
64,WiT-ACE,2020,Gurugram,Skill development,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000,Seed,2021,
65,Spinny,2015,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur",ArenaHoldingsThinkInvestments,65000000,SeriesC,2021,
66,Alteria Capital,2018,Mumbai,FinTech,Alteria Capital is a Venture debt firm .,Vinod Murali,N/A,2147483648,Debt,2021,Finance
67,Safexpay,2017,Thane,FinTech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,TChoithramsBVIArdor,6000000,N/A,2021,Finance
68,PumPumPum,2018,Gurugram,Rental,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra",KogtaFinancialIndiaLimitedICICIBank,700000,Pre-seriesA,2021,
69,Speciale Invest,2017,Bangalore,FinTech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",N/A,10000000,N/A,2021,Finance
70,Eunimart,2016,Hyderabad,E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder",SucSEEDVenturePartnersTMTConnekt,700000,Pre-seriesA,2021,Retail
71,Meesho,2015,Bangalore,E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey",SAIFPartnersVentureHighway,300000000,N/A,2021,Retail
72,CareerLabs,2019,Bangalore,EdTech,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",GlobalFoundersCapital,2200000,N/A,2021,Education
73,Uable,2020,Bangalore,EdTech,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,JAFCOAsiaChirataeVentures,35000000,Pre-seriesA,2021,Education
74,Zoko,2016,Bangalore,Tech Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",YCombinator,140000000,Seed,2021,
75,GetWork,2019,Gurugram,Recruitment,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,ArthaVentureFund,200000,Seed,2021,
76,Easebuzz,2015,Pune,E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,JitendraGuptaAmrishRau,4000000,SeriesA,2021,Retail
77,Chingari,2018,Bangalore,Social Media,Chingari operates as a short video platform.,Sumit Ghosh,FJLabsBrianNorgard,13000000,N/A,2021,
78,DusMinute,2017,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,IndianAngelNetwork,1100000,Pre-seriesA,2021,
79,Onsurity,2020,Bangalore,HealthCare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal",JitendraGuptaHarshShah,0,N/A,2021,
80,Karbon Card,2019,Bangalore,FinTech,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",YCombinator,0,Undisclosed,2021,Finance
81,Factors.AI,2020,Bangalore,SaaS startup,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan",ElevationPartnersEmergentVentures,2000000,N/A,2021,
82,Elevar,2017,Mumbai,Sports,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah",KalaariCapitalDreamCapital,2000000,N/A,2021,Sports
83,Studio Sirah,2020,Bangalore,Computer Games,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000,N/A,2021,
84,OTO Capital,2018,Mumbai,FinTech,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",MatrixPartnersIndia,6000000,N/A,2021,Finance
85,1Bridge,2016,Bangalore,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4DPartners,2500000,N/A,2021,
86,Skeps,2018,Gurugram,FinTech,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",BertelsmannIndia,9500000,N/A,2021,Finance
87,Curefoods,2020,Bangalore,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,IronPillarNordstarBinnyBansal,13000000,N/A,2021,
88,TartanSense,2015,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,FMCOmnivoreBlumeVentures,5000000,N/A,2021,
89,Bewakoof,2012,Mumbai,Apparel & Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000,N/A,2021,
90,Kirana247,2018,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",N/A,1000000,N/A,2021,
91,FanPlay,2020,Computer Games,Computer Games,A real money game app specializing in trivia games,YC W21,PriteshKumarBharatGupta,1200000,Upsparks,2021,
92,NeoDocs,2020,Mumbai,Healthtech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha",YCombinator9UnicornsTitanCapital,0,Undisclosed,2021,
93,IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,UnicornIndiaVenturesSEAFundDevdattShah,200000,N/A,2021,
94,Camp K12,2010,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,MatrixPartnersIndiaElevationCapital,12000000,N/A,2021,Education
95,Elda Health,2020,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma",AvaanaCapitalOriosVentures,1500000,N/A,2021,
96,Sporjo,2020,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,PunitBalan,2000000,N/A,2021,
97,Advantage Club,2014,Mumbai,HRTech,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah",YCombinatorBroomVenturesKunalShah,1700000,N/A,2021,
98,SuperGaming,2017,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich",SkycatcherAETFundBAceCapitalDreamIncubator1UpVentures,5500000,N/A,2021,
99,Ruptok,2020,New Delhi,FinTech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,EclearLeasing,1000000,N/A,2021,Finance
101,TartanSense,2015,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,FMCOmnivoreBlumeVentures,5000000,SeriesA,2021,
103,Kirana247,2018,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",N/A,1000000,Pre-seriesA,2021,
105,NeoDocs,2020,Mumbai,Healthtech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha",YCombinator9UnicornsTitanCapital,0,Pre-seed,2021,
106,IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,UnicornIndiaVenturesSEAFundDevdattShah,200000,Pre-seriesA,2021,
107,Camp K12,2010,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,MatrixPartnersIndiaElevationCapital,12000000,SeriesA,2021,Education
108,Elda Health,2020,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma",AvaanaCapitalOriosVentures,1500000,Seed,2021,
109,Sporjo,2020,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,PunitBalan,2000000,Pre-seriesA,2021,
111,SuperGaming,2017,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich",SkycatcherAETFundBAceCapitalDreamIncubator1UpVentures,5500000,SeriesA,2021,
113,O’ Be Cocktails,2019,Bangalore,Wine & Spirits,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,FirstChequeLetsventure,400000,N/A,2021,
114,Zetwerk,2018,Bangalore,Mechanical & Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",N/A,150000000,SeriesE,2021,
115,AppsForBharat,2020,Bangalore,Spiritual,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,SequoiaCapitalIndiaBEENEXT,4000000,Seed,2021,
116,Imagimake,2011,Mumbai,Consumer Goods,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,0,Undisclosed,2021,
117,Khatabook,2018,Bangalore,Financial Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone",TribeCapitalMooreStrategicVentures(MSV),100000000,SeriesC,2021,Finance
118,Smytten,2015,Gurugram,Consumer Goods,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",FiresideVentures,6000000,SeriesA,2021,
119,Syook,2016,Bangalore,Industrial Automation,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan",InflectionPointVenturesONGC,1000000,SeriesA,2021,
120,Akudo,2020,Bangalore,FinTech,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi",YCombinatorIncubateFundIndia,0,Pre-seed,2021,Finance
121,NOTO,2019,Mumbai,Consumer Goods,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth",TitanCapitalRockstudCapitalJohnAbrahamWEHVentures,500000,Pre-seriesA,2021,
122,Lumiq,2013,Noida,Information Technology,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,InfoEdgeVentures,2000000,Seed,2021,
123,CommerceUp,2018,Gurugram,Information Technology,Grow and manage ecommerce business from single dashboard,Piyush Pathak,NBVentures,0,Seed,2021,
124,Breathe Well-being,2015,Gurugram,Health,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,5500000,SeriesA,2021,
125,Hike,2012,New Delhi,Information Technology,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Kavin Bharti Mittal,BinnyBansalKunalShah,0,Undisclosed,2021,
126,House of Kieraya,2013,Bangalore,Lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000,N/A,2021,
127,goEgoNetwork,2019,Pune,Automotive,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",N/A,2000000,N/A,2021,Automotive
128,Probus,2017,New Delhi,IoT,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.","Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",UnicornIndiaVentures,500000,Bridge,2021,
129,DrinkPrime,2016,Bangalore,Consumer Goods,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,UCInclusiveCreditWesternCapital,1000000,N/A,2021,
130,Smart Express,2015,Mumbai,Logistics,India’s Most Innovative and Awarded Express Logistics Company.,Yogesh Dhingra,IIFLIndiaPrivateEquityFundSmitiHolding&TradingCompany,10000000,Seed,2021,
131,Smallcase,2015,Bangalore,FinTech,Smallcase is a new way to invest in the stock markets.,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",FaeringCapital,40000000,SeriesC,2021,Finance
132,SATYA MicroCapital,2017,New Delhi,Banking,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Vivek Tiwari,responsAbilityInvestmentsBlueOrchard,10000000,N/A,2021,
133,Snack Amor,2014,Mumbai,Food & Beverages,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",Deepak Grover,SanchitAgarwalSujanSinhaMichaelCooke,0,Undisclosed,2021,
134,Postman,2014,Bangalore,Computer software,Postman is the collaboration platform for API development.,"Abhinav Asthana, Abhijit Kane, Ankit Sobti",CRVNexusVenturePartners,225000000,SeriesD,2021,
135,Hashnode,2016,Bangalore,Computer software,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda",SalesforceVenturesSierraVenturesSequoiaCapitalIndia’sSurge,6700000,SeriesA,2021,
136,RACEnergy,2018,Hyderabad,Automotive,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy,MicelioFundgrowXventures,1300000,Seed+,2021,Automotive
